GeneID	1577_d7_CD46	1578_d7_CD46	1599_d7_CD46	1577_d7_ISG15	1578_d7_ISG15	1599_d7_ISG15	1577_d7_UBA7	1578_d7_UBA7	1599_d7_UBA7	1577_d7_STAT1	1578_d7_STAT1	1599_d7_STAT1
ENSG00000243485	6	8	7	3	5	5	3	7	6	4	12	11
ENSG00000237613	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	2	0	0	0
ENSG00000238009	12	10	55	24	41	43	11	29	58	48	30	29
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239906	31	14	46	19	19	24	19	17	38	28	21	32
ENSG00000241599	5	0	23	0	1	2	4	0	11	1	0	1
ENSG00000236601	0	2	8	0	1	7	1	2	2	0	2	10
ENSG00000284733	0	0	1	0	0	0	2	0	1	1	0	2
ENSG00000235146	0	0	2	0	0	1	0	0	0	2	1	0
ENSG00000284662	0	0	1	0	0	0	2	0	1	1	0	3
ENSG00000229905	0	2	10	1	4	2	0	0	11	1	2	2
ENSG00000237491	104	89	327	89	99	241	107	138	289	199	154	178
ENSG00000177757	18	23	52	18	18	52	17	23	32	15	20	34
ENSG00000225880	48	44	107	44	48	92	39	62	75	59	49	74
ENSG00000230368	10	8	18	9	19	32	7	11	35	5	16	19
ENSG00000272438	8	13	75	5	11	35	2	21	43	19	10	42
ENSG00000230699	37	44	344	21	42	210	20	65	273	44	75	193
ENSG00000241180	0	4	3	1	3	5	0	2	4	3	1	8
ENSG00000223764	29	39	169	19	34	120	16	64	155	35	53	135
ENSG00000187634	3	3	20	2	2	4	1	9	9	5	5	5
ENSG00000188976	4317	3426	7367	2989	3792	5396	2794	5455	5869	5075	5531	5957
ENSG00000187961	913	760	1563	627	797	1044	632	1251	1209	1128	1056	1062
ENSG00000187583	129	76	126	116	61	110	121	113	106	198	135	146
ENSG00000187642	49	20	21	37	26	23	24	36	19	58	32	38
ENSG00000272512	1	1	7	3	0	6	0	1	2	0	0	1
ENSG00000188290	7	23	24	13	85	94	2	12	21	2	14	3
ENSG00000187608	12218	13871	27935	5925	11471	12026	7461	20785	19782	2573	5307	4265
ENSG00000224969	3	0	1	3	6	7	1	1	1	2	2	2
ENSG00000188157	2604	3252	9027	3390	5609	10205	1655	5403	6711	1731	3405	2811
ENSG00000273443	7	3	6	6	12	8	1	14	5	13	20	5
ENSG00000237330	0	1	0	0	0	1	0	2	0	0	2	0
ENSG00000131591	567	400	1061	402	481	749	388	746	817	691	638	784
ENSG00000223823	2	5	5	1	5	0	1	4	4	3	2	4
ENSG00000272141	0	1	1	0	1	0	0	2	0	0	1	1
ENSG00000205231	0	0	2	0	1	2	0	0	0	0	1	0
ENSG00000162571	0	1	8	0	0	5	0	3	3	1	0	2
ENSG00000186891	143	208	518	60	187	294	72	421	346	177	527	536
ENSG00000186827	18	44	58	9	24	50	19	66	33	31	80	56
ENSG00000078808	5959	4304	8979	4270	4816	7070	3971	6607	7519	6673	6807	7580
ENSG00000176022	956	800	1740	650	995	1315	599	1230	1303	913	1184	1355
ENSG00000184163	50	45	118	42	53	73	36	55	53	46	47	45
ENSG00000260179	12	10	49	15	17	34	12	18	45	15	21	32
ENSG00000160087	2575	2055	3923	1835	2129	3032	1837	3089	3248	2918	3167	3346
ENSG00000230415	16	14	47	14	21	35	12	19	32	25	16	22
ENSG00000162572	122	83	251	82	139	190	62	176	169	134	157	149
ENSG00000131584	2946	2335	5310	2064	2476	3512	2191	3572	3856	3469	3236	3703
ENSG00000169972	391	273	696	291	366	467	260	499	470	460	512	614
ENSG00000127054	3915	3034	6975	2883	3444	4882	2456	4922	5710	4709	4627	5317
ENSG00000224051	967	673	1157	634	690	919	556	1090	1003	1074	1039	1009
ENSG00000169962	227	118	241	193	143	166	150	197	180	317	224	167
ENSG00000107404	1302	966	2054	868	1051	1375	863	1753	1617	1545	1564	1518
ENSG00000162576	90	92	210	87	114	149	73	146	186	112	124	168
ENSG00000175756	3413	2728	5290	2386	3185	4226	2427	4206	4108	3613	4489	4369
ENSG00000221978	5519	3991	9571	4073	4750	7200	3540	6582	7422	5980	5915	6246
ENSG00000242485	2442	2010	4379	1737	2346	3409	1704	3089	3349	2744	3312	3511
ENSG00000272455	74	70	140	54	58	93	35	110	96	67	106	83
ENSG00000235098	1	3	6	1	5	8	4	4	8	1	2	5
ENSG00000225905	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205116	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225285	0	1	6	0	2	3	2	2	2	4	0	1
ENSG00000179403	9	15	26	4	10	16	6	15	23	13	33	33
ENSG00000215915	65	58	137	43	46	127	42	110	127	86	115	140
ENSG00000160072	3167	2600	5851	2305	3112	4111	2181	4167	4459	4014	4398	4662
ENSG00000197785	3420	2498	5569	2218	2857	3841	2320	4226	4578	4177	4232	4769
ENSG00000205090	2	5	14	4	5	1	5	17	8	3	7	8
ENSG00000160075	4323	3202	6849	3167	3790	5629	2803	5213	5670	4697	4894	5596
ENSG00000215014	22	12	34	17	18	33	18	23	39	29	22	26
ENSG00000228594	50	73	146	51	77	110	32	104	129	52	105	137
ENSG00000272106	120	95	140	63	72	99	80	116	117	107	133	142
ENSG00000197530	2079	1741	3569	1492	1961	2673	1422	2768	2618	2396	2334	2342
ENSG00000189409	85	95	24	46	102	21	70	130	27	105	125	31
ENSG00000248333	5381	4117	8730	3857	4938	6772	3568	6667	6913	6068	6230	7165
ENSG00000272004	9	4	29	5	6	2	3	15	18	5	16	12
ENSG00000189339	6339	4122	8896	4607	4896	6947	3986	7153	7384	7138	6059	6876
ENSG00000008128	4428	3767	7076	3429	4431	5393	3184	5927	5507	5312	5665	5561
ENSG00000215790	2643	2054	3575	1867	2352	2801	1614	3216	2942	3023	2930	2675
ENSG00000008130	6149	4743	10193	4576	6070	8475	3948	7861	8233	6895	7889	8578
ENSG00000078369	12796	9187	23131	8870	10904	18134	8234	15293	18936	14742	14092	18837
ENSG00000231050	8	10	33	9	13	27	7	14	38	13	16	24
ENSG00000169885	20	20	24	12	20	36	15	20	21	17	9	19
ENSG00000178821	5	6	12	6	7	9	2	19	8	15	4	14
ENSG00000142609	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000233542	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187730	0	0	2	0	0	0	0	0	0	0	1	1
ENSG00000226969	2	2	3	0	1	0	0	4	0	2	1	0
ENSG00000067606	478	428	835	367	548	626	342	710	722	574	606	575
ENSG00000271806	8	4	24	9	6	11	2	9	13	5	4	6
ENSG00000182873	64	69	127	60	79	86	47	91	104	83	65	73
ENSG00000162585	1319	1252	2276	1019	1438	1751	1023	2018	1705	1506	2091	1680
ENSG00000234396	0	0	0	0	0	1	0	2	1	0	0	0
ENSG00000157933	1829	1317	3031	1180	1359	2300	1104	2060	2317	1998	1822	2100
ENSG00000116151	276	184	477	167	226	302	139	333	353	281	291	321
ENSG00000157916	3684	2847	6072	2696	3351	5030	2501	4610	5067	4224	4513	4827
ENSG00000157911	375	276	668	261	317	529	214	393	583	380	422	520
ENSG00000149527	189	188	343	169	220	225	112	294	229	215	243	189
ENSG00000224387	2	2	1	1	1	2	0	1	5	2	1	1
ENSG00000229393	2	1	4	1	2	2	0	0	0	1	5	5
ENSG00000157881	1251	862	1671	877	1050	1330	833	1495	1435	1390	1377	1371
ENSG00000197921	0	0	0	0	0	0	1	0	0	1	0	0
ENSG00000272449	87	63	152	67	87	119	55	116	133	84	124	118
ENSG00000238164	1366	1186	1811	1145	1334	1321	897	1813	1479	1581	1636	1320
ENSG00000157873	4675	4975	9703	3749	5991	7712	3176	8112	7235	5436	7427	6402
ENSG00000228037	37	40	26	33	65	26	40	72	29	64	63	22
ENSG00000157870	606	589	1298	456	691	856	380	973	1069	731	945	1026
ENSG00000142606	0	0	7	0	0	7	0	4	2	0	2	4
ENSG00000237058	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215912	25	24	65	5	26	70	11	48	63	18	26	56
ENSG00000283259	0	0	5	2	1	0	0	1	1	1	5	3
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177133	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000142611	0	0	1	0	0	0	1	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272235	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130762	0	0	0	3	2	3	0	0	2	0	0	0
ENSG00000272088	0	0	0	0	0	0	0	0	0	0	0	0
